Image,Mu,Sigma,Score,Score_10
104105980871.jpg,36.78750757844635,2.9137533059807708,4.28714859437751,7.993785544210055
104108752262.jpg,36.78018364757911,4.0435776179325575,4.27710843373494,7.991931900398815
104106820573.jpg,36.75645183811402,3.3442581357056502,4.267068273092369,7.985925519052261
104108860715.jpg,36.64310976701223,3.1639581345055423,4.257028112449799,7.9572393077185986
104108337629.jpg,36.48056378517135,3.9229373375680963,4.246987951807229,7.916099876074215
104108615890.jpg,36.453249982383966,2.795554834207819,4.236947791164659,7.909186913292891
104108622359.jpg,36.32969671179299,3.319421306800147,4.2269076305220885,7.877916307447382
104106715943.jpg,36.274510781376584,2.721281642017055,4.216867469879518,7.863949073152289
104108114295.jpg,36.23099392400693,3.005552769143429,4.206827309236948,7.852935212588883
104107777564.jpg,36.15732310523508,2.3938368530652405,4.196787148594377,7.834289561809172
104106837135.jpg,35.86540738181662,2.463740767361868,4.186746987951807,7.7604074097345
104108888885.jpg,35.72827114107831,3.324074509948195,4.176706827309237,7.725699034061798
104108913569.jpg,35.640344560774786,2.824658845576786,4.166666666666667,7.7034453339139715
104106894431.jpg,35.596357934738315,3.152442336025487,4.156626506024097,7.692312577664936
104108556974.jpg,35.58355339659339,2.3530506867202567,4.146586345381526,7.68907182439755
104108373886.jpg,35.52246022516681,2.867492681608508,4.136546184738956,7.673609502158773
104109071073.jpg,35.47139135961827,3.6262858228713175,4.126506024096385,7.660684272758474
104108933415.jpg,35.4192321600002,2.7623407531025226,4.116465863453815,7.647483086220291
104109046484.jpg,35.34962926485894,2.069270666995129,4.106425702811245,7.629867002977347
104108814105.jpg,35.34961436975835,2.7705595407612806,4.096385542168675,7.629863233115024
104108544828.jpg,35.265226940455804,3.293282364685147,4.086345381526105,7.608505271262507
104108652136.jpg,35.0856996924614,2.550099753781531,4.076305220883534,7.5630679810660615
104108583839.jpg,34.970198843772856,3.1458390212716507,4.066265060240964,7.533835395826631
104108971045.jpg,34.939936883308405,2.792477791745404,4.056224899598393,7.526176271683094
104108602176.jpg,34.908888000903936,3.205335928163168,4.046184738955823,7.518317982226493
104107408279.jpg,34.90744922862863,2.3477652153944892,4.036144578313253,7.5179538374288075
104109086516.jpg,34.878856236082335,2.8004410280619156,4.026104417670683,7.510717119245776
104107305834.jpg,34.86106098692064,2.5631845806185343,4.016064257028113,7.506213246383519
104108906517.jpg,34.58101560730426,2.94149830702091,4.006024096385542,7.435335408484506
104106945388.jpg,34.557001165502356,3.771143055809657,3.995983935742972,7.429257494556405
104108024282.jpg,34.51706396989845,4.824332163668611,3.9859437751004014,7.4191496253245255
104108707962.jpg,34.45025720999734,2.0974567096822527,3.9759036144578315,7.402241227459452
104108475014.jpg,34.36837491970526,2.728281778832432,3.965863453815261,7.3815173015511855
104108317853.jpg,34.31650852884288,3.156274817790586,3.9558232931726907,7.368390223186294
104108729464.jpg,34.29517593961626,3.1985514304367073,3.9457831325301207,7.362991070365982
104108859766.jpg,34.247865534280834,2.9100130326109634,3.9357429718875503,7.351017085132253
104108820409.jpg,34.06403580237203,3.1928744838464316,3.92570281124498,7.304490861571275
104109004950.jpg,33.997904049890835,2.5386189875829657,3.9156626506024095,7.28775330411269
104108977018.jpg,33.75680194701306,3.2436841236551723,3.9056224899598395,7.226731780428597
104108989567.jpg,33.602540342347964,2.9338716208366185,3.895582329317269,7.187689075905239
104107707060.jpg,33.55126114811932,3.145770830871215,3.8855421686746987,7.174710613553501
104108622319.jpg,33.32428425710426,2.42704607593805,3.8755020080321283,7.117264097884416
104108839865.jpg,33.321869362472356,3.3958860175832952,3.8654618473895583,7.116652902261414
104107156101.jpg,33.291747286944066,3.2068798165609165,3.855421686746988,7.109029182172189
104107250587.jpg,33.28044557943108,2.6050821979970116,3.8453815261044175,7.106168786495657
104109053645.jpg,33.20910579563773,3.316313572563311,3.8353413654618476,7.0881131069540695
104108574933.jpg,33.198733049400275,3.132122760607233,3.825301204819277,7.085487825910714
104108653387.jpg,33.168683241297614,3.0458244647459702,3.8152610441767068,7.077882396281722
104108970398.jpg,33.1269941269308,2.4110529462054426,3.8052208835341363,7.067331126718583
