Image,Mu,Sigma,Score,Score_10
104108285616.jpg,38.763535410704854,3.9830061296168022,4.427710843373494,8.51777539265505
104108958236.jpg,38.66047431072932,3.7570659271262707,4.417670682730924,8.491973396743502
104108662703.jpg,38.64466058629495,3.3933680376251925,4.407630522088353,8.48801433116688
104108041370.jpg,38.549270878470324,4.076712562214402,4.397590361445783,8.464132916628525
104109042223.jpg,38.326668818645885,3.7282213293594952,4.387550200803213,8.408403088023402
104108916291.jpg,38.3076096112347,2.7517599784990847,4.377510040160643,8.403631495329192
104108595272.jpg,38.27301668910841,3.214787610493475,4.367469879518072,8.394970939256307
104108781507.jpg,38.26321060714402,3.7710432049965763,4.357429718875502,8.392515924834633
104108374459.jpg,38.20305054108524,4.080613682961755,4.347389558232932,8.37745447314379
104108997771.jpg,38.082929075328195,4.0823322688702985,4.337349397590361,8.347381307137526
104108649028.jpg,38.04112485263519,3.1454382099065454,4.327309236947791,8.33691535651924
104108795931.jpg,37.61632789068775,4.310945141797607,4.317269076305221,8.230564759853696
104107525811.jpg,37.611960198492106,3.1613631566797142,4.307228915662651,8.229471280585557
104108504580.jpg,37.59859668248857,3.0583580707587803,4.2971887550200805,8.226125640131796
104108561221.jpg,37.51800148633816,2.618185551091862,4.28714859437751,8.20594812483207
104108878064.jpg,37.45656920663056,4.4853950687757544,4.27710843373494,8.190568166436236
104107563575.jpg,37.352573829065975,3.832464632023399,4.267068273092369,8.164532268242077
104106715943.jpg,37.120942172373475,3.422811872415848,4.257028112449799,8.106541823152869
104109078999.jpg,37.00999272665248,3.349068816006856,4.246987951807229,8.078764930168404
104108486750.jpg,37.00255759449329,4.369221966010642,4.236947791164659,8.076903497973145
104109023688.jpg,36.938011515676266,2.8247664979735965,4.2269076305220885,8.06074398034585
104108917829.jpg,36.86573123883837,4.591142995923947,4.216867469879518,8.04264815749999
104108906517.jpg,36.800560926064634,3.040425105633436,4.206827309236948,8.026332358967455
104108479327.jpg,36.720741000949296,3.0234717284310184,4.196787148594377,8.006348937657428
104109011775.jpg,36.6705279958008,3.1420992896129403,4.186746987951807,7.993777795355866
104108856628.jpg,36.65022455298488,3.0561744077794937,4.176706827309237,7.988694700486404
104108780545.jpg,36.55869718635607,2.976665948705586,4.166666666666667,7.965780247408457
104108097531.jpg,36.55605614924025,3.4225299086826446,4.156626506024097,7.965119047121627
104108760626.jpg,36.53845949901651,2.550824051387551,4.146586345381526,7.960713614836919
104108774096.jpg,36.46862729345191,4.115511250662234,4.136546184738956,7.943230682063061
104108942837.jpg,36.39728315156925,3.6388788113761112,4.126506024096385,7.925369226503143
104108424749.jpg,36.31784935278403,2.8638351618947855,4.116465863453815,7.905482474353387
104107134966.jpg,36.28432334376052,2.9498432874610354,4.106425702811245,7.897089026699903
104108622201.jpg,36.084701608702765,4.178644348916675,4.096385542168675,7.8471124672314065
104108940280.jpg,35.95963025124154,2.054325303037326,4.086345381526105,7.815800064640786
104108973712.jpg,35.856246456929505,3.738700016506284,4.076305220883534,7.789917280168346
104108810212.jpg,35.804127287335426,3.7013896017773393,4.066265060240964,7.776868917584414
104108486184.jpg,35.706951593251716,3.001590819445755,4.056224899598393,7.752540370130091
104108729738.jpg,35.70614795915743,3.9513828859432976,4.046184738955823,7.752339175269758
104108402765.jpg,35.64724428452454,3.6419621237832986,4.036144578313253,7.73759226909067
104108707005.jpg,35.60047779574719,2.6213432000350676,4.026104417670683,7.725883983883963
104108538306.jpg,35.3763006686843,3.057938421968135,4.016064257028113,7.669759827268984
104109021662.jpg,35.22350734082463,2.404547450591555,4.006024096385542,7.63150705467406
104108602675.jpg,35.19760260142713,3.519082667019029,3.995983935742972,7.625021639903767
104108707624.jpg,35.12519641105925,2.927208726995419,3.9859437751004014,7.6068942938121165
104108993069.jpg,35.11809533421772,3.8049774863192996,3.9759036144578315,7.605116494470986
104108037471.jpg,35.00816581688474,3.172531357940011,3.965863453815261,7.577594946986463
104108442047.jpg,34.99212759341374,3.3522307020242907,3.9558232931726907,7.5735796766611365
104108920377.jpg,34.85473504159233,3.0636193568798333,3.9457831325301207,7.539182585409302
104108929764.jpg,34.78026670827542,3.528441876942316,3.9357429718875503,7.520538968833903
104109028923.jpg,34.71667727040394,4.914204363449676,3.92570281124498,7.504618952296463
104108907676.jpg,34.65306629780205,3.374449772669397,3.9156626506024095,7.4886935444035405
104108140332.jpg,34.62714000593595,3.4729548140753588,3.9056224899598395,7.482202733836902
104108458011.jpg,34.6059155268483,3.8616209221609745,3.895582329317269,7.47688905173207
104108725465.jpg,34.59716608703051,3.7765895415622186,3.8855421686746987,7.474698574331184
104108079090.jpg,34.53556762298249,2.84298605407333,3.8755020080321283,7.459277010638366
104108455579.jpg,34.51275560290976,2.9327702742220234,3.8654618473895583,7.453565877642595
104108929350.jpg,34.470981929855164,3.2736887580463008,3.855421686746988,7.44310757531882
104108777350.jpg,34.3651487355891,3.175041270258677,3.8453815261044175,7.416611568130783
104108884118.jpg,34.26020033288225,2.813222152872766,3.8353413654618476,7.390337074085906
104108870597.jpg,34.21994487177395,3.0184427801343565,3.825301204819277,7.38025886569127
104108920656.jpg,33.93488261927633,3.0784571192252534,3.8152610441767068,7.308891734201059
104108423834.jpg,33.878370024043086,3.315880789025746,3.8052208835341363,7.29474344981922
104108004071.jpg,33.86244421531378,2.742740119295875,3.7951807228915664,7.29075632323296
