ID,Hexagon_ID,Complex_ID,Extensive,Monotonous,Oppressive,Prefer,Quiet,Vivid,Floor,Lon,Lat,LCZ_Catego,LC_Water,LC_Trees,LC_Crops,LC_Built_Area,LC_Bare_Ground,LC_Rangeland,WV_Sky,WV_Highrisebuilding,WV_Lowrisebuilding,WV_Grass,WV_Hardground,WV_Tree,WV_Water,WV_Railing,WV_Road,WV_Barrenland,WV_Buildinginterior,BD,FAR,BH,BH_SD,NDBI,NDVI
104112912059,83,83-4,3.021636724472046,1.2427589893341064,2.1755166053771973,4.0384955406188965,1.1738011837005615,2.255813837051392,2.0,114.203087185,30.6155551270999,5,0.0,0.0,0.0,0.996685364609893,0.0,0.003314635390107,0.286823052,0.242974026,0.011130682,0.000426948,0.129751623,0.022007711,0.0,0.085703734,0.004267857,2.44e-06,0.216911932,0.161322565,0.91249645985,13.2757916232,5.65485597284,-0.12389568177,0.43104624844
104109574308,154,154-11,3.662416696548462,3.0876708030700684,1.4735591411590576,4.39164400100708,0.8588061332702637,1.696515679359436,3.0,114.183097215,30.5145021682,5,0.043954643903682,0.04051471525035,0.0,0.853357115556122,0.0,0.062173525289846,0.285809659,0.093285714,0.053583604,0.000446023,0.01021388,0.017994318,0.0,0.113404627,0.029417614,0.000109172,0.395717938,0.161150807,0.69185126049,9.60149179028,3.958671428,-0.10749831638,0.44229978923
104110679411,42,42-6,4.310328483581543,2.200657844543457,1.8923221826553345,3.30505895614624,1.4448494911193848,2.720374345779419,3.0,114.225202541,30.6604918409,4,0.020142784293728,0.0,0.0,0.979857215706272,0.0,0.0,0.284140016,0.136002841,0.001768669,0.007225649,0.003767857,0.021663149,0.0,0.112988636,0.000120942,0.000504464,0.431700487,0.107158622,0.90501131433,15.3946884304,9.76288132656,-0.14249646375,0.47202780338
104111118641,178,178-1,4.43651008605957,1.2863211631774902,0.7703553438186646,4.381863594055176,2.849841833114624,2.750638723373413,3.0,114.145713843999,30.5026978558999,4,0.072356687898089,0.000764331210191,0.0,0.92687898089172,0.0,0.0,0.282516234,0.033883117,0.0755,0.003467127,0.001720373,0.094060065,0.0,0.04960836,0.024931412,0.002831169,0.431465503,0.167220637,0.80432331843,12.4997575787,4.54286366587,-0.14874313425,0.4359418313
104107354938,245,245-7,5.200584411621094,1.5083634853363037,0.7668977379798889,4.807084560394287,3.3380706310272217,3.3504230976104736,3.0,114.410146933999,30.3995535347999,4,0.021916411824669,0.0,0.009556574923547,0.915902140672783,0.0,0.052624872579001,0.282258117,0.046885958,0.041926948,0.003133523,0.008576299,0.034409497,0.001482955,0.125067776,0.002909091,0.013440747,0.439908279,0.094787692,0.48951566287,11.5489828898,5.60369709072,-0.1190097976,0.4410052304
104110802041,108,108-6,4.888335227966309,2.009739637374878,0.1243422627449035,5.514405727386475,1.848313808441162,2.2747578620910645,3.0,114.308837139,30.5755885708,5,0.230337794773741,0.0,0.0,0.769662205226259,0.0,0.0,0.281749188,0.019412744,0.026466315,0.000683442,0.014714692,0.034248377,0.085267451,0.076946023,0.016780032,0.000387987,0.443328328,0.146776639,0.97495559905,13.9119193276,6.77314548182,-0.18215964822,0.07443925709
104111848591,42,42-3,4.654851913452148,2.216276168823242,0.950225293636322,4.898614883422852,2.274705648422241,2.480404853820801,3.0,114.238493754999,30.6622542033,4,0.029704232534421,0.001147373788883,0.044620091789903,0.857853136155023,0.0,0.06667516573177,0.280068182,0.057734172,0.006924919,0.013787338,0.009924919,0.077982143,0.000592127,0.117883117,0.026251623,0.000829951,0.40802151,0.052105665,0.18215195488,6.90800752302,3.1127077048,-0.12033122533,0.37873523813
104112407916,21,21-10,4.2418742179870605,2.523219347000122,0.5060811638832092,4.77859354019165,1.6017367839813232,0.9122400879859924,2.0,114.287783325,30.6987856197999,4,0.084183673469388,0.0,0.0,0.907142857142857,0.0,0.008673469387755,0.279198052,0.007282873,0.017751218,0.003708198,0.003541802,0.039228084,0.046530032,0.138326705,0.004333604,4.75e-05,0.460051948,0.117832555,0.79686795493,16.2815981982,8.53190713567,-0.11405247502,0.34849317121
104112390283,148,148-1,3.8202059268951416,2.8415307998657227,1.3536878824234009,3.992254495620728,1.747969150543213,1.308297038078308,3.0,114.079629613999,30.5321405812,5,0.251433668918058,0.000509748948643,0.000127437237161,0.729068433796355,0.0,0.018860711099783,0.278558036,0.093955763,0.013405438,0.000643669,0.001931818,0.024341721,8.48e-05,0.06702638,0.004928977,8.85e-05,0.514987013,0.049596882,0.14443607647,6.2813501176,2.73028102374,-0.13295572893,0.30068740188
104110060598,146,146-1,3.4012551307678223,1.4988653659820557,2.0981507301330566,3.5758731365203857,1.9052143096923828,2.308024644851685,3.0,114.109309675999,30.5400978651,6,0.034676185619582,0.009051504334523,0.078148903620602,0.842172361040286,0.0,0.035951045385008,0.277244318,0.040198052,0.043189123,0.003999594,0.003153409,0.040540179,0.0,0.06663961,5.6e-05,9.74e-06,0.524969968,0.121238132,0.39710473218,6.50601232287,3.53660584962,-0.13485963093,0.48301908663
