ID,Prefer,Monotonous,Quiet,Extensive,Vivid,Oppressive,Hexagon_ID,Complex_ID,Floor,Lon,Lat,LCZ_Catego,LC_Water,LC_Trees,LC_Crops,LC_Built_Area,LC_Bare_Ground,LC_Rangeland,WV_Sky,WV_Highrisebuilding,WV_Lowrisebuilding,WV_Grass,WV_Hardground,WV_Tree,WV_Water,WV_Railing,WV_Road,WV_Barrenland,WV_Buildinginterior,BD,FAR,BH,BH_SD,NDBI,NDVI
104108509828,2.9176305885739793,4.873159068758438,2.0241196072905567,2.811855399282568,1.7897078729148834,4.36237831488149,142,142-13,3.0,114.20287059,30.533389262,8,0.080815806246017,0.0,0.005863607393244,0.905672402804334,0.002039515615041,0.005608667941364,0.105909091,0.083271104,0.0,0.000184659,0.005574675,0.029683847,0.002344156,0.116303166,0.0,0.00031737,0.656411932,0.044149126,0.69842632724,17.6260706406,9.07166274674,-0.10811379844,0.34602379613
104111957970,2.705283980781267,2.904800788227028,2.5292410412184028,1.491939911075166,3.4416414498521903,4.293327013073706,141,141-13,1.0,114.227057278999,30.5326444104,4,0.156082631981637,0.0,0.0,0.713338434072941,0.0,0.130578933945422,0.10590138,0.201248377,0.019089286,0.000816558,0.03275974,0.111244724,0.0,0.077750406,0.000298295,0.0,0.450887987,0.055376904,0.62854602278,14.2818097967,7.44713658439,-0.19286158522,0.32666891631
104111534292,1.924593005012373,3.6419262420227727,3.297733742330134,2.141853547179957,1.291702625711913,3.753204348551667,204,204-6,2.0,114.495583547999,30.4752540251,16,0.008160142802499,0.0,0.0,0.962641846232309,0.0,0.029198010965192,0.105886364,0.158123782,0.026608766,0.000176136,0.002659497,0.020090503,0.0,0.064554789,2.15e-05,0.019060471,0.602818182,0.022251956,0.10274599426,4.31251865563,1.58993192399,-0.0690604678,0.36023126349
104113029228,3.248990774927075,3.7855305216796156,1.6183255216266714,4.2809877768291615,1.2050874800348912,1.1938216003157762,59,59-6,3.0,114.155701058,30.6479093481,14,0.014274789701759,0.0,0.0,0.985725210298241,0.0,0.0,0.105872971,0.019235795,0.02630763,0.004025162,0.002780438,0.039010146,0.0,0.143644886,0.025510552,0.0,0.633612419,0.172408461,0.8590792067,13.5123412216,7.94643180721,-0.07572051137,0.36814919728
104111813868,1.871542463087488,2.5002295344607215,2.7793863210185363,2.100727021592957,1.9788042155370809,2.2864968665004937,175,175-1,1.0,114.381532828,30.5089879957999,5,0.0,0.0,0.0,1.0,0.0,0.0,0.10585349,0.042874594,0.070828734,0.0,0.008024756,0.03100487,0.0,0.092209416,1.87e-05,0.0,0.649185471,0.19593495,1.41242763291,19.774582283,7.44793849764,-0.1426074342,0.49186654693
104112989629,2.5289181308285325,3.108536188517566,2.4952595679891134,4.1286317012588105,1.3641080038932825,3.0238147217073696,228,228-2,1.0,114.248127592,30.4293665494,4,0.174168047940839,0.0,0.0,0.76973097029198,0.0,0.056100981767181,0.105849838,0.089517045,0.010355114,0.000566558,0.00138961,0.011662338,0.000695617,0.047701299,0.001006494,0.000255682,0.731000406,0.055378419,0.33042645465,10.4084619152,4.57331333777,-0.12183832806,0.41496646525
104112783699,2.227614972424233,3.8508595739822873,1.658490231450438,3.3784221835433956,0.8294663550624441,2.386787272074158,55,55-1,2.0,114.190291758,30.6413074877,4,0.297742058936089,0.0,0.0,0.702257941063911,0.0,0.0,0.105846591,0.102851867,0.061155844,0.000171266,0.007601867,0.01887987,0.000125812,0.045061282,0.002041802,0.0,0.656263799,0.04149764,0.37212586789,6.90445997586,4.3963825774,-0.20755073743,0.3219780404
104110451428,2.7293093702867863,4.26457631002755,1.5968179207264785,2.703160787936669,0.7541125594070544,3.37280087631465,166,166-4,3.0,114.27245041,30.5062669773,14,0.079601990049751,0.0,0.0,0.893226176808266,0.000255134583493,0.02691669855849,0.105833198,0.10259862,0.005737013,7.75e-05,2.11e-05,0.010301542,0.0,0.052107955,0.0,0.0,0.723323052,0.199815566,0.83283628632,9.24013293825,4.28492116237,-0.18476266661,0.20103185818
104109954443,1.083111577812295,5.0,1.3449903754711174,2.346195387289137,0.8450732534685172,3.4070852666936524,213,213-6,2.0,114.367933516999,30.4598381516,5,0.014672110232202,0.0,0.0,0.983286552692013,0.0,0.002041337075785,0.105827516,0.164243506,0.007293019,4.83e-05,0.008933036,0.017693994,0.000702516,0.126849838,0.002217127,0.001030032,0.565138393,0.122225971,0.61179746421,11.2814817935,5.04690962542,-0.11229357744,0.39058213286
104111768434,4.529942566583197,4.284949850056604,3.7101088748564655,3.5740077886660995,2.7479209695842965,1.8507803585504592,185,185-1,1.0,114.510972950999,30.4955450414,5,0.00280612244898,0.0,0.0,0.992474489795918,0.0,0.004719387755102,0.105825081,0.082762987,0.024247565,0.001916396,0.013851867,0.076458604,0.0,0.079980519,5.11e-05,0.0,0.614905844,0.091099788,0.69061392233,15.777536512,6.05204457911,-0.09692999298,0.38215202545
