ID,extensive,Sky,High rise building,Low rise building,Grass,Hard ground,Tree,Water,Railing,Road,Barren land,Building interior,Floor,Hue_Mean,Hue_Std,Saturation_Mean,Saturation_Std,Brightness_Mean,Brightness_Std,EdgePixelRatio,Entropy,Colorfulness,Contrast,Sharpness,Image_Variance
104108601667,2.0983935742971886,0.0627,0.1332,0.0047,0.0,0.0059,0.019,0.0,0.0756,0.003,0.0006,0.6951,2,72.57049278846154,55.38510896612782,46.01772836538461,65.80331898217935,134.93728966346154,92.3257343846953,49.71274038461539,5.250632831955202,18.11177812448197,90.59416482396132,4563.45956203393,8207.30270015107
104108602176,1.6365461847389557,0.0381,0.1379,0.0011,0.0,0.0068,0.0633,0.0,0.0548,0.0008,0.0049,0.6923,1,61.69095552884615,55.20973463081699,34.14170673076923,62.08390523633934,136.25694110576924,93.80224408024212,45.83563701923077,5.046120748027347,14.821705172184505,91.91911634248436,3209.961309865015,8449.123949183177
104108602675,0.010040160642570281,0.0188,0.1541,0.0,0.0006,0.0007,0.0042,0.0001,0.0481,0.0,0.0,0.7736,2,73.25631009615384,61.3507245963729,38.28539663461538,67.59103265519447,133.64453125,94.27218399730442,62.63897235576923,5.2763769092512565,9.61402640643608,92.85908074524052,5415.174364624024,8622.808876851099
104108603773,3.21285140562249,0.1187,0.0979,0.0232,0.0131,0.0,0.0451,0.0132,0.075,0.006,0.0,0.6078,2,52.71129807692308,52.78034926928841,60.32821514423077,86.10189274734248,86.02605168269231,95.79284013719509,30.56475360576923,5.092699273738598,20.951694095032273,92.78280388407936,2725.486709645289,8608.64869659153
104108603862,1.0843373493975903,0.1467,0.1442,0.0033,0.0049,0.0058,0.0147,0.0,0.1143,0.0015,0.0025,0.5621,3,34.73617788461539,50.8173925055636,28.08275240384615,61.36785024641633,101.01231971153848,100.572475085678,44.17292668269231,4.797642822392639,8.972247909592369,99.32405235612232,4423.606234975059,9865.267376441729
104108606686,2.891566265060241,0.1299,0.1137,0.0195,0.0012,0.0041,0.0263,0.0017,0.0863,0.0015,0.0,0.6158,2,65.08046875,51.36405183056873,36.528515625,60.71495926215618,134.1796875,99.19498230902084,49.72040264423077,4.983686251146823,12.786262591100671,98.1622823403646,5605.501655388105,9635.833674269456
104108607496,1.8373493975903614,0.067,0.1869,0.0035,0.0038,0.0032,0.0296,0.0,0.0844,0.003,0.0,0.6184,2,73.69693509615385,52.71836207376875,49.860787259615385,67.99052845769876,106.91923076923077,92.61461144319328,53.18374399038461,5.300207734031616,20.524992120298904,90.36767960753244,5329.803470693734,8166.317517649633
104108609843,1.214859437751004,0.0475,0.1409,0.0016,0.0,0.0051,0.0177,0.0002,0.0719,0.0,0.0,0.7151,3,69.2380108173077,59.38969345426216,43.81361177884615,70.0356410025134,125.47322716346154,98.11799095272914,53.62815504807692,5.2069545413617515,14.485784156431905,96.55202919387578,4870.508913009915,9322.29434145504
104108610169,4.437751004016064,0.169,0.0087,0.0193,0.002,0.0131,0.0203,0.0016,0.0754,0.0009,0.025,0.6647,2,73.71691706730769,47.06575675589569,30.725150240384615,54.73658043445641,154.98722956730768,98.89331822018484,35.57587139423077,4.836656902686611,16.070390654819093,98.36606109629308,2521.6659712426904,9675.88197559966
104108611766,4.086345381526105,0.206,0.098,0.007,0.0003,0.0037,0.0205,0.0,0.1263,0.0081,0.0116,0.5185,3,67.55555889423077,56.79950961951137,35.993719951923076,59.94533158696022,111.80081129807692,101.21857011260272,40.09660456730769,5.2064473098310495,16.395009759201283,99.34934946648536,4771.869068592681,9870.293239413832
104108612795,1.2751004016064258,0.0634,0.1564,0.0039,0.0002,0.0081,0.0124,0.0012,0.0856,0.0016,0.0021,0.6653,2,61.01646634615385,58.69822518541031,33.66162860576923,65.90978331971277,95.7946514423077,96.58457873178708,48.42548076923077,5.26657502746265,10.879575756772214,94.48247335174833,5797.382596470759,8926.937770663832
104108613968,1.676706827309237,0.0872,0.1065,0.0117,0.0021,0.0138,0.041,0.0,0.1301,0.002,0.0,0.6056,3,53.103455528846155,52.73651019256099,60.36195913461538,88.28195682839305,72.57587139423077,90.11516777036782,43.03891225961539,5.143336203103545,17.564412617359178,87.23470708735212,3766.678755995169,7609.894120616123
104108615890,2.540160642570281,0.0946,0.1395,0.0775,0.0085,0.0119,0.048,0.0005,0.1454,0.0015,0.0,0.4726,1,68.24708533653846,58.93457228669191,36.65525841346154,55.6649456235013,127.0481971153846,89.84607709224144,54.54762620192308,5.302426140889132,19.47482793745454,88.5249597326873,5336.0861504865115,7836.668495673907
104108620360,2.8714859437751006,0.111,0.1442,0.0057,0.0158,0.0106,0.0459,0.0,0.08,0.001,0.0,0.5857,2,52.0765625,45.43375980491287,26.417457932692308,52.81421118556329,112.60625,97.02057800843772,45.29927884615385,5.062050362071993,8.922299767560093,95.98001306508544,2960.1074146654473,9212.16290797397
104108622201,2.791164658634538,0.1631,0.1117,0.0145,0.0011,0.0322,0.0311,0.0,0.1409,0.0138,0.0186,0.473,1,66.68662860576923,54.78060285000214,29.628485576923076,54.529940224427165,124.89420072115384,98.7495050013061,48.13431490384615,5.136122898709161,12.324593741797402,97.38103988493442,5037.620563860109,9483.06692907119
